,year,month,region,district,site_code,product_code,stock_initial,stock_received,stock_distributed,stock_adjustment,stock_end,average_monthly_consumption,stock_stockout_days,stock_ordered,date,error
17,2017,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,48,0,0,0,48,9,0,0.0,2017-07-01,Fine
18,2017,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,48,0,9,0,39,7,0,0.0,2017-08-01,Fine
19,2017,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,39,0,10,0,29,6,0,0.0,2017-09-01,Fine
20,2017,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,29,0,10,0,19,10,0,0.0,2017-10-01,Fine
21,2017,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,19,0,5,0,14,8,0,7.0,2017-11-01,Fine
22,2017,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,14,0,4,0,10,6,0,0.0,2017-12-01,Fine
23,2018,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,10,0,3,0,7,4,0,10.0,2018-01-01,Fine
24,2018,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,7,10,4,0,13,4,0,10.0,2018-02-01,Fine
25,2018,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,13,10,4,0,19,4,0,0.0,2018-03-01,Fine
26,2018,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,19,0,8,0,11,5,0,30.0,2018-04-01,Fine
27,2018,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,11,30,12,0,29,8,0,0.0,2018-05-01,Fine
28,2018,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,29,0,0,0,29,7,0,0.0,2018-06-01,Fine
29,2018,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,29,0,11,0,18,8,0,6.0,2018-07-01,Fine
30,2018,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,18,0,5,0,13,5,0,0.0,2018-08-01,Fine
31,2018,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,13,0,1,0,12,6,0,0.0,2018-09-01,Fine
32,2018,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,12,0,6,0,6,4,0,0.0,2018-10-01,Fine
33,2018,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,6,0,6,0,0,4,0,25.0,2018-11-01,Fine
34,2018,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,0,0,0,0,0,4,0,15.0,2018-12-01,Fine
35,2019,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,0,75,22,0,53,9,0,0.0,2019-01-01,Fine
36,2019,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,53,0,23,0,30,15,0,15.0,2019-02-01,Fine
37,2019,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,30,15,10,0,35,18,0,0.0,2019-03-01,Fine
38,2019,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,35,0,7,0,28,13,0,10.0,2019-04-01,Fine
39,2019,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,28,0,9,0,19,9,0,0.0,2019-05-01,Fine
40,2019,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,19,10,8,0,21,8,0,0.0,2019-06-01,Fine
41,2019,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,21,0,6,0,15,8,0,0.0,2019-07-01,Fine
42,2019,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,15,0,5,0,10,6,0,8.0,2019-08-01,Fine
43,2019,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,10,0,10,0,0,7,0,15.0,2019-09-01,Fine
44,2016,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,48,0,0,0,48,0,0,0.0,2016-01-01,Fine
45,2016,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,0,3,48,45,2,0,0.0,2016-03-01,Fine
46,2016,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,45,0,3,0,42,2,0,0.0,2016-04-01,Fine
47,2016,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,42,0,0,-28,14,2,0,0.0,2016-05-01,Fine
48,2016,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,14,0,0,0,14,1,0,0.0,2016-06-01,Fine
49,2016,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,14,0,0,-14,0,0,0,3.0,2016-07-01,Fine
51,2016,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,18,0,0,18,0,0,0.0,2016-09-01,Fine
52,2016,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,18,0,0,0,18,0,0,,2016-10-01,Fine
53,2016,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,18,0,2,0,16,1,0,0.0,2016-11-01,Fine
54,2016,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,16,0,0,0,16,1,0,0.0,2016-12-01,Fine
55,2017,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,16,0,0,0,16,1,0,0.0,2017-01-01,Fine
56,2017,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,16,0,0,0,16,0,0,0.0,2017-02-01,Fine
57,2017,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,16,0,6,0,10,2,0,0.0,2017-03-01,Fine
58,2017,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,10,4,0,0,14,2,0,0.0,2017-04-01,Fine
59,2017,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,14,0,0,0,14,2,0,0.0,2017-05-01,Fine
60,2017,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,14,0,0,0,14,0,0,0.0,2017-06-01,Fine
61,2017,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,14,0,0,0,14,0,0,0.0,2017-07-01,Fine
62,2017,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,14,0,2,0,12,1,0,0.0,2017-08-01,Fine
63,2017,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,12,0,4,0,8,2,0,0.0,2017-09-01,Fine
64,2017,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,8,0,0,0,8,2,0,0.0,2017-10-01,Fine
65,2017,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,8,0,0,0,8,1,0,0.0,2017-11-01,Fine
66,2017,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,8,0,0,0,8,0,0,0.0,2017-12-01,Fine
67,2018,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,8,0,1,0,7,0,0,0.0,2018-01-01,Fine
68,2018,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,7,0,0,0,7,0,0,0.0,2018-02-01,Fine
69,2018,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,7,0,2,0,5,1,0,0.0,2018-03-01,Fine
70,2018,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,5,0,1,0,4,1,0,10.0,2018-04-01,Fine
71,2018,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,4,0,4,0,0,2,0,15.0,2018-05-01,Fine
72,2018,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,0,0,0,0,2,0,0.0,2018-06-01,Fine
73,2018,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,0,0,0,0,1,0,20.0,2018-07-01,Fine
77,2018,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,5,0,0,5,0,0,10.0,2018-11-01,Fine
78,2018,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,5,0,2,0,3,1,0,2.0,2018-12-01,Fine
79,2019,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,3,0,3,0,0,2,0,10.0,2019-01-01,Fine
80,2019,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,0,0,0,0,2,0,10.0,2019-02-01,Fine
81,2019,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,0,0,0,0,1,0,5.0,2019-03-01,Fine
82,2019,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,5,0,0,5,0,0,5.0,2019-04-01,Fine
83,2019,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,5,0,1,0,4,0,0,0.0,2019-05-01,Fine
84,2019,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,4,5,0,0,9,0,0,0.0,2019-06-01,Fine
85,2019,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,9,0,0,0,9,0,0,0.0,2019-07-01,Fine
86,2019,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,9,0,0,0,9,0,0,0.0,2019-08-01,Fine
87,2019,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,9,0,0,0,9,0,0,0.0,2019-09-01,Fine
92,2018,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,0,3,3,0,0,1,0,20.0,2018-02-01,Fine
93,2018,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,0,20,10,0,10,4,0,0.0,2018-03-01,Fine
94,2018,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,10,0,10,0,0,8,0,50.0,2018-04-01,Fine
95,2018,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,0,0,0,0,0,7,0,60.0,2018-05-01,Fine
96,2018,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,0,60,12,0,48,7,0,0.0,2018-06-01,Fine
97,2018,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,48,0,0,0,48,4,0,0.0,2018-07-01,Fine
98,2018,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,48,0,0,0,48,4,0,0.0,2018-08-01,Fine
99,2018,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,48,0,0,0,48,0,0,0.0,2018-09-01,Fine
100,2018,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,48,0,2,0,46,1,0,0.0,2018-10-01,Fine
101,2018,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,46,0,1,0,45,1,0,0.0,2018-11-01,Fine
102,2018,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,45,0,0,0,45,1,0,0.0,2018-12-01,Fine
103,2019,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,45,0,2,0,43,1,0,0.0,2019-01-01,Fine
104,2019,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,43,0,3,0,40,2,0,0.0,2019-02-01,Fine
105,2019,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,40,0,9,0,31,5,0,0.0,2019-03-01,Fine
106,2019,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,31,0,7,0,24,6,0,0.0,2019-04-01,Fine
107,2019,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,24,0,7,0,17,8,0,5.0,2019-05-01,Fine
108,2019,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,17,0,1,0,16,5,0,0.0,2019-06-01,Fine
109,2019,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,16,5,11,0,10,6,0,8.0,2019-07-01,Fine
110,2019,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,10,8,0,2,20,4,0,0.0,2019-08-01,Fine
111,2019,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,20,0,5,0,15,5,0,0.0,2019-09-01,Fine
112,2016,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,3,0,0,0,3,0,0,0.0,2016-01-01,Fine
113,2016,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,0,0,0,3,3,0,0,0.0,2016-03-01,Fine
114,2016,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,3,0,0,0,3,0,0,0.0,2016-04-01,Fine
115,2016,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,3,0,0,0,3,0,0,0.0,2016-05-01,Fine
116,2016,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,3,0,0,0,3,0,0,0.0,2016-06-01,Fine
117,2016,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,3,0,0,0,3,0,0,0.0,2016-07-01,Fine
118,2016,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,3,0,1,0,2,0,0,0.0,2016-08-01,Fine
119,2016,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,2,0,0,0,2,0,0,0.0,2016-09-01,Fine
120,2016,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,2,0,0,0,2,0,0,,2016-10-01,Fine
121,2016,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,2,0,0,0,2,0,0,0.0,2016-11-01,Fine
122,2016,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,2,0,0,0,2,0,0,0.0,2016-12-01,Fine
123,2017,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,2,0,0,0,2,0,0,0.0,2017-01-01,Fine
124,2017,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,2,0,0,0,2,0,0,0.0,2017-02-01,Fine
125,2017,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,2,0,1,0,1,0,0,0.0,2017-03-01,Fine
126,2017,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,1,0,0,0,1,0,0,0.0,2017-04-01,Fine
127,2017,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,1,0,0,0,1,0,0,0.0,2017-05-01,Fine
128,2017,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,1,0,0,0,1,0,0,0.0,2017-06-01,Fine
129,2017,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,1,0,0,0,1,0,0,0.0,2017-07-01,Fine
130,2017,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,1,0,0,0,1,0,0,0.0,2017-08-01,Fine
131,2017,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,1,0,0,0,1,0,0,0.0,2017-09-01,Fine
132,2017,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,1,0,0,0,1,0,0,0.0,2017-10-01,Fine
133,2017,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,1,0,1,0,0,0,0,0.0,2017-11-01,Fine
136,2018,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,0,1,0,0,1,0,0,0.0,2018-02-01,Fine
137,2018,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,1,0,1,0,0,0,0,0.0,2018-03-01,Fine
139,2018,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,0,1,0,0,1,0,0,1.0,2018-05-01,Fine
140,2018,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,1,1,0,0,2,0,0,0.0,2018-06-01,Fine
141,2018,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,2,0,0,0,2,0,0,0.0,2018-07-01,Fine
142,2018,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,2,0,0,0,2,0,0,0.0,2018-08-01,Fine
143,2018,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,2,0,0,0,2,0,0,0.0,2018-09-01,Fine
144,2018,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,2,0,0,0,2,0,0,0.0,2018-10-01,Fine
145,2018,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,2,0,0,0,2,0,0,0.0,2018-11-01,Fine
146,2018,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,2,0,0,0,2,0,0,0.0,2018-12-01,Fine
147,2019,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,2,0,0,0,2,0,0,0.0,2019-01-01,Fine
148,2019,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,2,0,0,0,2,0,0,0.0,2019-02-01,Fine
149,2019,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,2,0,0,0,2,0,0,0.0,2019-03-01,Fine
150,2019,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,2,0,1,18,19,0,0,0.0,2019-04-01,Fine
151,2019,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,19,0,1,0,18,1,0,0.0,2019-05-01,Fine
152,2019,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,18,0,0,0,18,1,0,0.0,2019-06-01,Fine
153,2019,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,18,0,0,0,18,0,0,0.0,2019-07-01,Fine
154,2019,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,18,0,2,0,16,1,0,0.0,2019-08-01,Fine
155,2019,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,16,0,3,0,13,2,0,0.0,2019-09-01,Fine
163,2016,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,0,375,11,0,364,4,0,0.0,2016-08-01,Fine
164,2016,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,364,0,29,0,335,13,0,0.0,2016-09-01,Fine
165,2016,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,335,0,24,0,311,21,0,,2016-10-01,Fine
166,2016,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,311,0,36,0,275,30,0,0.0,2016-11-01,Fine
167,2016,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,275,0,36,0,239,32,0,0.0,2016-12-01,Fine
168,2017,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,239,0,15,0,224,29,0,0.0,2017-01-01,Fine
169,2017,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,224,0,37,0,187,29,0,0.0,2017-02-01,Fine
170,2017,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,187,0,40,0,147,31,0,0.0,2017-03-01,Fine
171,2017,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,147,0,33,0,114,37,0,0.0,2017-04-01,Fine
172,2017,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,114,0,28,0,86,34,0,100.0,2017-05-01,Fine
173,2017,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,86,0,43,0,43,35,0,0.0,2017-06-01,Fine
174,2017,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,43,0,14,0,29,28,0,87.0,2017-07-01,Fine
175,2017,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,29,0,0,0,29,19,0,47.0,2017-08-01,Fine
176,2017,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,29,0,0,0,29,5,0,0.0,2017-09-01,Fine
177,2017,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,29,0,0,0,29,0,0,25.0,2017-10-01,Fine
178,2017,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,29,25,5,0,49,2,0,50.0,2017-11-01,Fine
179,2017,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,49,0,0,0,49,2,0,0.0,2017-12-01,Fine
180,2018,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,49,0,0,0,49,2,0,25.0,2018-01-01,Fine
181,2018,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,49,0,0,0,49,0,0,0.0,2018-02-01,Fine
182,2018,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,49,0,0,0,49,0,0,0.0,2018-03-01,Fine
183,2018,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,49,0,0,0,49,0,0,0.0,2018-04-01,Fine
184,2018,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,49,0,0,0,49,0,0,0.0,2018-05-01,Fine
185,2018,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,49,0,0,0,49,0,0,0.0,2018-06-01,Fine
186,2018,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,49,0,0,0,49,0,0,0.0,2018-07-01,Fine
187,2018,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,49,0,5,0,44,2,0,0.0,2018-08-01,Fine
188,2018,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,44,0,32,0,12,12,0,50.0,2018-09-01,Fine
189,2018,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,12,0,12,0,0,16,0,0.0,2018-10-01,Fine
190,2018,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,0,50,0,0,50,15,0,50.0,2018-11-01,Fine
191,2018,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,50,0,0,0,50,4,0,0.0,2018-12-01,Fine
192,2019,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,50,50,19,0,81,6,0,0.0,2019-01-01,Fine
193,2019,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,81,0,42,0,39,20,0,50.0,2019-02-01,Fine
194,2019,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,39,50,26,0,63,29,0,25.0,2019-03-01,Fine
195,2019,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,63,25,63,0,25,44,0,75.0,2019-04-01,Fine
196,2019,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,25,0,25,0,0,38,0,50.0,2019-05-01,Fine
197,2019,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,0,75,12,0,63,33,0,50.0,2019-06-01,Fine
198,2019,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,63,50,88,0,25,42,0,100.0,2019-07-01,Fine
199,2019,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,25,100,25,0,100,42,0,0.0,2019-08-01,Fine
200,2019,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,100,0,0,0,100,38,0,0.0,2019-09-01,Fine
201,2016,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,354,0,10,0,344,10,0,0.0,2016-01-01,Fine
202,2016,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,0,0,60,344,284,35,0,0.0,2016-03-01,Fine
203,2016,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,284,0,42,0,242,37,0,0.0,2016-04-01,Fine
204,2016,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,242,0,51,0,191,51,0,0.0,2016-05-01,Fine
206,2016,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,184,0,37,0,147,45,0,0.0,2016-07-01,Fine
207,2016,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,147,0,35,0,112,40,0,0.0,2016-08-01,Fine
208,2016,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,112,0,26,0,86,33,0,0.0,2016-09-01,Fine
209,2016,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,86,0,26,0,60,29,0,,2016-10-01,Fine
210,2016,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,60,126,13,-26,147,22,0,0.0,2016-11-01,Fine
211,2016,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,147,0,21,0,126,20,0,0.0,2016-12-01,Fine
212,2017,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,126,0,15,0,111,16,0,0.0,2017-01-01,Fine
213,2017,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,111,0,24,0,87,20,0,0.0,2017-02-01,Fine
214,2017,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,87,0,8,0,79,16,0,0.0,2017-03-01,Fine
215,2017,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,79,0,16,0,63,16,0,0.0,2017-04-01,Fine
216,2017,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,63,0,16,0,47,13,0,100.0,2017-05-01,Fine
217,2017,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,47,100,24,0,123,19,0,0.0,2017-06-01,Fine
218,2017,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,123,0,10,0,113,17,0,0.0,2017-07-01,Fine
219,2017,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,113,0,13,0,100,16,0,0.0,2017-08-01,Fine
220,2017,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,100,0,23,0,77,15,0,0.0,2017-09-01,Fine
221,2017,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,77,0,10,0,67,15,0,0.0,2017-10-01,Fine
222,2017,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,67,0,15,0,52,16,0,100.0,2017-11-01,Fine
